OBJECTID_1,OBJECTID,CD_USO_SOL,CD_UNIDADE,CD_REGIAO,CD_PROJETO,AREA_HA,CD_TALHAO,ID_REGIAO,ID_PROJETO,Shape_Leng,Shape_Area,CAMALHAO
29695,1165766,305956,1,11,8012,9.20000000000,007A,11,G987,0.02869477170,0.00000866574,Classe 1
29696,1165768,305958,1,11,8012,8.25000000000,006A,11,G987,0.00215595668,0.00000777506,Classe 1
29697,1165772,111927,1,13,2972,0.13000000000,006B,12,R565,0.00152499091,0.00000012426,Classe 1
29698,1165773,305960,1,11,8012,0.34000000000,007B,11,G987,0.02869477170,0.00000031742,Classe 1
29699,1196544,300905,1,11,997,3.86000000000,276G,11,002,0.71236150468,0.00000362248,Classe 3
29700,1196546,312953,1,11,2565,0.50000000000,007B,11,686,0.11687594220,0.00000046821,Classe 3
29701,1119199,275838,1,11,6387,7.20000000000,032A,11,G881,0.00215595668,0.00000675837,Classe 1
29702,1196547,307977,1,11,1187,9.87000000000,009A,11,007,0.01749202877,0.00000924263,Classe 1
29703,1098210,285472,1,11,6394,0.11000000000,001B,11,G891,0.00101055091,0.00000010397,Classe 1
29704,1098211,275950,1,11,6394,4.07000000000,004A,11,G891,0.00161696751,0.00000381345,Classe 1
29705,1098212,285470,1,11,6394,0.85000000000,008F,11,G891,0.00204462579,0.00000079777,Classe 1
29706,1098213,285420,1,11,6394,2.55000000000,002C,11,G891,0.00107797834,0.00000238907,Classe 3
29707,1020195,232271,1,11,1605,1.45000000000,016C,11,120,0.00428475200,0.00000136330,Classe 1
29708,1020197,236156,1,11,1605,0.62000000000,047D,11,120,0.00356528137,0.00000058499,Classe 1
29709,1065136,241851,1,11,1064,1.53000000000,023I,11,091,0.00161696751,0.00000143271,Classe 1
29710,1065151,156634,1,11,1064,0.48000000000,023E,11,091,0.00389089574,0.00000045468,Classe 3
29711,1065303,230529,1,11,1064,13.64000000000,047A,11,091,0.02004152527,0.00001278885,Classe 1
29712,1065271,4856,1,11,1064,7.39000000000,030G,11,091,0.00101651122,0.00000693284,Classe 1
29713,1065157,257058,1,11,1064,9.67000000000,038C,11,091,0.02176147198,0.00000906636,Classe 1
29714,1065158,257057,1,11,1064,11.86000000000,036B,11,091,0.02176147198,0.00001112201,Classe 1
29715,1065159,266617,1,11,1064,3.07000000000,040F,11,091,0.12814815466,0.00000287707,Classe 1
29716,1065160,266615,1,11,1064,2.95000000000,036D,11,091,0.12814815466,0.00000276510,Classe 1
29717,1221905,280654,1,11,1023,13.40000000000,032A,11,037,0.05409615753,0.00001252291,Classe 3
29718,1221907,213948,1,11,1002,2.00000000000,048G,11,010,0.00107797834,0.00000188579,Classe 1
29719,1221908,277317,1,11,1657,1.63000000000,016G,11,157,0.02548830049,0.00000153066,Classe 1
29720,1103508,287358,1,11,6386,1.11000000000,007L,11,G880,0.01095293094,0.00000103656,Classe 2
29721,1103509,287393,1,11,6381,0.03000000000,004C,11,G875,3151.14812522000,0.00000002854,Classe 2
29722,1103510,275606,1,11,6380,1.03000000000,001A,11,G874,0.00146422507,0.00000096224,Classe 1
29723,1103517,275235,1,11,6326,23.98000000000,001A,11,G870,0.01588859186,0.00002243668,Classe 2
29724,1109210,100711,1,13,2891,0.21000000000,031C,12,R419,0.00378787452,0.00000019724,Classe 3
29725,1109211,100822,1,13,2891,0.19000000000,022C,12,R419,0.00201440756,0.00000017776,Classe 1
29726,1109213,100810,1,13,2891,0.13000000000,012C,12,R419,0.00101079607,0.00000012038,Classe 1
29727,1109214,100733,1,13,2891,0.04000000000,027D,12,R419,0.00101079607,0.00000004034,Classe 3
29728,1109215,100783,1,13,2891,2.37000000000,034C,12,R419,0.00857670276,0.00000225662,Classe 3
29729,1109293,288869,1,11,6383,1.18000000000,046F,11,G877,0.00107797834,0.00000110655,Classe 1
29730,1109291,288867,1,11,6383,0.39000000000,046G,11,G877,0.16532244202,0.00000036661,Classe 3
29731,1109292,288807,1,11,6383,0.05000000000,038B,11,G877,0.00378729897,0.00000004630,Classe 3
29732,1058607,260266,1,11,2390,10.97000000000,009A,11,656,0.00461631230,0.00001028899,Classe 1
29733,1058608,260258,1,11,2390,4.71000000000,010A,11,656,0.03240808172,0.00000442194,Classe 1
29734,1210442,277529,1,11,5090,5.26000000000,006A,11,G956,0.00101079607,0.00000494370,Classe 1
29735,1058611,260260,1,11,2390,8.37000000000,003A,11,656,0.05185816112,0.00000784958,Classe 1
29736,1196519,312917,1,11,1660,0.07000000000,005B,11,147,0.16863569759,0.00000006925,Classe 1
29737,1168091,262237,1,11,5609,10.71000000000,026D,11,G981,0.00155211230,0.00001006272,Classe 1
29738,1196520,308569,1,11,1187,17.53000000000,012A,11,007,0.00146411812,0.00001642072,Classe 3
29739,1196521,310195,1,11,1980,1.55000000000,031D,11,263,0.00107797834,0.00000145512,Classe 1
29740,1196522,312925,1,11,1838,0.52000000000,015H,11,195,0.23160728597,0.00000048451,Classe 3
29741,1217516,313643,1,11,7374,1.61000000000,008B,11,G991,0.04832545169,0.00000151562,Classe 1
29742,1110148,276014,1,11,6395,64.95000000000,007A,11,G892,0.00155237691,0.00006068336,Classe 3
29743,1196566,310671,1,11,2363,0.43000000000,001D,11,648,0.00387885236,0.00000039929,Classe 1
29744,1200188,277630,1,13,2938,9.05000000000,003C,12,R448,0.02765486263,0.00000856127,Classe 1
29745,1119202,275832,1,11,6387,0.67000000000,026A,11,G881,0.00295427487,0.00000063030,Classe 3
29746,1119204,275819,1,11,6387,1.70000000000,013A,11,G881,0.04445935114,0.00000159563,Classe 1
29747,1200191,293976,1,13,2938,1.15000000000,032B,12,R448,0.00101623400,0.00000108889,Classe 1
29748,1106531,274301,1,13,6300,2.31000000000,022A,12,R309,0.01411338479,0.00000220702,Classe 1
29749,1098197,275956,1,11,6394,2.57000000000,008B,11,G891,0.01114170513,0.00000240481,Classe 1
29750,1098198,285417,1,11,6394,0.54000000000,002B,11,G891,0.00107797834,0.00000050513,Classe 3
29751,1106532,287848,1,13,6300,0.15000000000,006C,12,R309,0.00161696751,0.00000013916,Classe 1
29752,1106533,274330,1,13,6300,0.10000000000,050A,12,R309,0.00152909091,0.00000009402,Classe 1
29753,1098214,285423,1,11,6394,0.37000000000,005C,11,G891,0.00107797834,0.00000034605,Classe 3
